Session ID,Start Date/Time,End Date/Time,Duration
636997362986736741,26/07/2019 11:11:38,26/07/2019 11:12:44,00:01:06.2447634
636997363912890444,26/07/2019 11:13:11,26/07/2019 11:13:16,00:00:05.5340269
636997364045291243,26/07/2019 11:13:24,26/07/2019 11:14:04,00:00:40.1732570
636997364477798942,26/07/2019 11:14:07,26/07/2019 11:18:43,00:04:35.3538382
636997367261929878,26/07/2019 11:18:46,26/07/2019 11:20:44,00:01:58.7558093
636997418388188674,26/07/2019 12:43:58,26/07/2019 12:44:03,00:00:04.3020872
636997418527423610,26/07/2019 12:44:12,26/07/2019 12:44:14,00:00:02.2305684
637000860341194027,30/07/2019 12:20:34,30/07/2019 12:22:11,00:01:37.0278116
637000861514599561,30/07/2019 12:22:31,30/07/2019 12:22:34,00:00:03.2463346
637000861638622755,30/07/2019 12:22:43,30/07/2019 12:28:42,00:05:58.5081266
637000868564368929,30/07/2019 12:34:16,30/07/2019 12:36:55,00:02:39.2429449
637000883173949174,30/07/2019 12:58:37,30/07/2019 13:03:19,00:04:41.9926169
637000886026407083,30/07/2019 13:03:22,30/07/2019 13:05:07,737269.13:05:07.1401757
637000887101393333,30/07/2019 13:05:10,30/07/2019 13:07:58,737269.13:07:58.1196396
637000888830744543,30/07/2019 13:08:03,30/07/2019 13:09:13,00:01:10.3151414
637000894234729567,30/07/2019 13:17:03,30/07/2019 13:17:08,00:00:04.7862503
637000894590031863,30/07/2019 13:17:39,30/07/2019 13:17:45,00:00:06.8660513
637000908268960019,30/07/2019 13:40:26,30/07/2019 13:40:55,00:00:29.0365423
637000908852773889,30/07/2019 13:41:25,30/07/2019 13:42:08,00:00:43.0643144
637000909940059276,30/07/2019 13:43:14,30/07/2019 13:43:39,00:00:25.1808636
637000911310135783,30/07/2019 13:45:31,30/07/2019 13:45:39,00:00:08.8559682
637000923482109546,30/07/2019 14:05:48,30/07/2019 14:07:43,00:01:55.7060420
637000925138876833,30/07/2019 14:08:33,30/07/2019 14:09:53,00:01:19.2737657
637000926307088687,30/07/2019 14:10:30,30/07/2019 14:12:22,00:01:52.0989195
637000933475947761,30/07/2019 14:22:27,30/07/2019 14:23:53,00:01:26.2609238
637000941808731358,30/07/2019 14:36:20,30/07/2019 14:37:17,00:00:56.1937013
637000942448090195,30/07/2019 14:37:24,30/07/2019 14:38:09,00:00:44.2885361
637000944523130713,30/07/2019 14:40:52,30/07/2019 14:41:20,00:00:27.7975237
637000944907287460,30/07/2019 14:41:30,30/07/2019 14:41:53,00:00:22.8964204
637000945513468738,30/07/2019 14:42:31,30/07/2019 14:42:53,00:00:22.0211654
637000945994306452,30/07/2019 14:43:19,30/07/2019 14:43:42,00:00:23.0171989
637000949767303624,30/07/2019 14:49:36,30/07/2019 14:50:04,00:00:27.5161761
637000970345040391,30/07/2019 15:23:54,30/07/2019 15:24:22,00:00:28.0443888
637000971040892364,30/07/2019 15:25:04,30/07/2019 15:25:28,00:00:24.3457072
637000971587429321,30/07/2019 15:25:58,30/07/2019 15:26:28,00:00:29.6466460
637000971918881269,30/07/2019 15:26:31,30/07/2019 15:27:01,00:00:29.5581343
637000976231493575,30/07/2019 15:33:43,30/07/2019 15:33:51,00:00:07.8660279
637000979972745768,30/07/2019 15:39:57,30/07/2019 15:40:04,00:00:07.3466325
637000980078995464,30/07/2019 15:40:07,30/07/2019 15:41:03,00:00:55.9430845
637000980672620621,30/07/2019 15:41:07,30/07/2019 15:41:18,00:00:11.3948881
637000981100322779,30/07/2019 15:41:50,30/07/2019 15:42:00,00:00:10.5455980
637000981237650525,30/07/2019 15:42:03,30/07/2019 15:42:12,00:00:08.6093588
637000981446936441,30/07/2019 15:42:24,30/07/2019 15:42:32,00:00:07.7094977
637000981554217741,30/07/2019 15:42:35,30/07/2019 15:44:34,737269.15:44:34.5613305
637000982795239140,30/07/2019 15:44:39,30/07/2019 15:44:49,00:00:10.1968033
637000982964552518,30/07/2019 15:44:56,30/07/2019 15:45:12,00:00:15.5863775
637000983451187154,30/07/2019 15:45:45,30/07/2019 15:46:02,00:00:17.2568028
637000983800748510,30/07/2019 15:46:20,30/07/2019 15:46:22,00:00:02.4430957
637000984124527817,30/07/2019 15:46:52,30/07/2019 15:46:59,00:00:07.4832347
637000984230464386,30/07/2019 15:47:03,30/07/2019 15:47:11,00:00:08.5413631
637000984347109692,30/07/2019 15:47:14,30/07/2019 15:47:17,00:00:02.9213976
637000986159639853,30/07/2019 15:50:15,30/07/2019 15:50:22,00:00:06.7518169
637000986715119448,30/07/2019 15:51:11,30/07/2019 15:51:19,00:00:07.7348889
637000986885312794,30/07/2019 15:51:28,30/07/2019 15:51:30,00:00:01.9629284
637000986936184589,30/07/2019 15:51:33,30/07/2019 15:51:36,00:00:02.4925868
637000987151010472,30/07/2019 15:51:55,30/07/2019 15:51:56,00:00:01.0945979
637000987346872061,30/07/2019 15:52:14,30/07/2019 15:52:22,00:00:08.1116870
637000987763198757,30/07/2019 15:52:56,30/07/2019 15:53:04,00:00:08.1862957
637000987926136164,30/07/2019 15:53:12,30/07/2019 15:53:21,00:00:08.9973152
637000988139324529,30/07/2019 15:53:33,30/07/2019 15:53:43,00:00:09.1567655
637001699333736459,31/07/2019 11:38:53,31/07/2019 11:39:17,00:00:23.7340627
637001699618335839,31/07/2019 11:39:21,31/07/2019 11:39:28,00:00:06.5295610
637001699861054472,31/07/2019 11:39:46,31/07/2019 11:40:03,00:00:17.0742589
637001700138583383,31/07/2019 11:40:13,31/07/2019 11:43:05,00:02:51.4298947
637001702276405162,31/07/2019 11:43:47,31/07/2019 11:43:52,00:00:04.3921373
637001703522183455,31/07/2019 11:45:52,31/07/2019 11:45:55,00:00:03.5537548
637001706284943708,31/07/2019 11:50:28,31/07/2019 11:50:38,00:00:10.4807374
637001706596387065,31/07/2019 11:50:59,31/07/2019 11:51:51,00:00:51.7535885
637001710400576829,31/07/2019 11:57:20,31/07/2019 11:57:41,00:00:21.8834067
637001711801907152,31/07/2019 11:59:40,31/07/2019 11:59:49,00:00:09.7799155
637001712090706183,31/07/2019 12:00:09,31/07/2019 12:00:31,00:00:22.3527482
637001712738404772,31/07/2019 12:01:13,31/07/2019 12:01:22,00:00:08.7736259
637001714010992352,31/07/2019 12:03:21,31/07/2019 12:03:30,00:00:09.7846840
637001714303531144,31/07/2019 12:03:50,31/07/2019 12:04:13,00:00:22.6603871
637002511684241966,01/08/2019 10:12:48,01/08/2019 10:12:52,00:00:04.0077706
637002511781110969,01/08/2019 10:12:58,01/08/2019 10:15:48,00:02:50.2286241
637002514614838385,01/08/2019 10:17:41,01/08/2019 10:20:28,00:02:46.5223366
637002522688798292,01/08/2019 10:31:08,01/08/2019 10:36:17,00:05:08.9870622
637002535098124209,01/08/2019 10:51:49,01/08/2019 10:51:55,00:00:05.8694431
637002537544010431,01/08/2019 10:55:54,01/08/2019 10:55:55,00:00:01.1387292
637002538277166316,01/08/2019 10:57:07,01/08/2019 10:57:19,00:00:11.3123511
637002538424255348,01/08/2019 10:57:22,01/08/2019 10:57:26,00:00:03.7179495
637002538537026655,01/08/2019 10:57:33,01/08/2019 10:58:03,00:00:29.4228467
637002539214060890,01/08/2019 10:58:41,01/08/2019 10:58:44,00:00:03.5870259
637002539685388583,01/08/2019 10:59:28,01/08/2019 10:59:38,00:00:10.1277860
637002542975200494,01/08/2019 11:04:57,01/08/2019 11:05:06,00:00:09.0700747
637002543391210103,01/08/2019 11:05:39,01/08/2019 11:05:57,00:00:18.6193393
637002548279665809,01/08/2019 11:13:47,01/08/2019 11:14:47,00:00:59.4272790
637002548915810414,01/08/2019 11:14:51,01/08/2019 11:15:21,00:00:29.4594271
637002549281480482,01/08/2019 11:15:28,01/08/2019 11:16:06,00:00:38.3879479
637002550172324367,01/08/2019 11:16:57,01/08/2019 11:17:02,00:00:05.3115627
637002550441933252,01/08/2019 11:17:24,01/08/2019 11:17:27,00:00:03.0027656
637002550648976962,01/08/2019 11:17:44,01/08/2019 11:17:47,00:00:03.0480408
637002550729102748,01/08/2019 11:17:52,01/08/2019 11:18:15,00:00:22.9682236
637002551002751735,01/08/2019 11:18:20,01/08/2019 11:18:38,00:00:18.6580118
637002551467478473,01/08/2019 11:19:06,01/08/2019 11:19:11,00:00:04.2899029
637002551893941794,01/08/2019 11:19:49,01/08/2019 11:19:58,00:00:08.7371735
637002552220669994,01/08/2019 11:20:22,01/08/2019 11:20:51,00:00:29.2819376
637002555676038215,01/08/2019 11:26:07,01/08/2019 11:26:09,00:00:01.9043638
637002555762934203,01/08/2019 11:26:16,01/08/2019 11:27:20,00:01:04.0666065
637002556837901620,01/08/2019 11:28:03,01/08/2019 11:28:09,00:00:05.2893655
637002556971007945,01/08/2019 11:28:17,01/08/2019 11:28:58,00:00:41.4893346
637002558997176330,01/08/2019 11:31:39,01/08/2019 11:32:15,00:00:36.1462099
637002559399670453,01/08/2019 11:32:19,01/08/2019 11:32:40,00:00:20.6697659
637002564311712825,01/08/2019 11:40:31,01/08/2019 11:41:59,00:01:27.9412724
637002565230908376,01/08/2019 11:42:03,01/08/2019 11:42:13,00:00:10.4691801
637002570285438640,01/08/2019 11:50:28,01/08/2019 11:50:30,00:00:01.8461542
637002570868080664,01/08/2019 11:51:26,01/08/2019 11:51:45,00:00:18.1983164
637002571679737440,01/08/2019 11:52:47,01/08/2019 11:53:45,00:00:58.0197553
637002574576758861,01/08/2019 11:57:37,01/08/2019 11:57:40,00:00:03.2168650
637002577124211902,01/08/2019 12:01:52,01/08/2019 12:01:54,00:00:02.4388953
637002577408377134,01/08/2019 12:02:20,01/08/2019 12:02:29,00:00:08.1826045
637002577905323881,01/08/2019 12:03:10,01/08/2019 12:03:13,00:00:02.7443091
637002578329421851,01/08/2019 12:03:52,01/08/2019 12:04:39,00:00:46.8880613
637002579515073439,01/08/2019 12:05:51,01/08/2019 12:05:59,00:00:07.8931311
637002579917969685,01/08/2019 12:06:31,01/08/2019 12:06:40,00:00:08.2307631
637002580771992933,01/08/2019 12:07:57,01/08/2019 12:08:00,00:00:03.5382527
637002581026782229,01/08/2019 12:08:22,01/08/2019 12:08:26,00:00:03.5764008
637002607468117446,01/08/2019 12:52:26,01/08/2019 12:52:32,00:00:06.0604257
637002607734851957,01/08/2019 12:52:53,01/08/2019 12:53:02,00:00:09.3588923
637002607863789393,01/08/2019 12:53:06,01/08/2019 12:53:09,00:00:02.8654984
637002608049668076,01/08/2019 12:53:24,01/08/2019 12:53:30,00:00:05.2743444
637002608751728206,01/08/2019 12:54:35,01/08/2019 12:54:40,00:00:05.2926504
637002610382404390,01/08/2019 12:57:18,01/08/2019 12:57:42,00:00:24.3758404
637002614391024257,01/08/2019 13:03:59,01/08/2019 13:04:55,737271.13:04:55.1833148
637002614986436463,01/08/2019 13:04:58,01/08/2019 13:05:14,00:00:15.7891562
637002615183888665,01/08/2019 13:05:18,01/08/2019 13:05:43,00:00:25.2110653
637002616208031954,01/08/2019 13:07:00,01/08/2019 13:07:24,00:00:23.8521850
637002616694987161,01/08/2019 13:07:49,01/08/2019 13:08:14,00:00:24.7182475
637002617253768367,01/08/2019 13:08:45,01/08/2019 13:09:05,00:00:19.7206530
637002618908624085,01/08/2019 13:11:30,01/08/2019 13:11:41,00:00:10.9991326
637002619698874922,01/08/2019 13:12:49,01/08/2019 13:12:57,00:00:07.6270105
637002628602133965,01/08/2019 13:27:40,01/08/2019 13:27:47,00:00:07.5406121
637002628727466946,01/08/2019 13:27:52,01/08/2019 13:27:54,00:00:02.1245251
637002628906559594,01/08/2019 13:28:10,01/08/2019 13:28:12,00:00:01.9929286
637002629498095421,01/08/2019 13:29:09,01/08/2019 13:29:39,00:00:30.1429980
637002638075708466,01/08/2019 13:43:27,01/08/2019 13:44:30,00:01:03.4175112
637002656940770997,01/08/2019 14:14:54,01/08/2019 14:17:00,737271.14:17:00.3921138
637002658232493204,01/08/2019 14:17:03,01/08/2019 14:17:17,00:00:13.9259244
637002658445331290,01/08/2019 14:17:24,01/08/2019 14:17:25,00:00:00.9617972
637008548724137332,08/08/2019 09:54:32,08/08/2019 10:00:56,00:06:24.4915852
637008701163472461,08/08/2019 14:08:36637008701252174548,08/08/2019 14:08:45,08/08/2019 14:09:18,00:00:32.9578908
,08/08/2019 14:09:18,00:00:41.8390701
637008701649789336,08/08/2019 14:09:24637008701688046395,08/08/2019 14:09:28,08/08/2019 14:09:30,00:00:01.9554755
,08/08/2019 14:09:30,00:00:05.7881636
637008702179658126,08/08/2019 14:10:17637008702204442447,08/08/2019 14:10:20,08/08/2019 14:10:30,00:00:10.3349087
,08/08/2019 14:10:30,00:00:12.8223188
637008702754700550,08/08/2019 14:11:15,08/08/2019 14:11:54,00:00:39.4865212
637008703332711952,08/08/2019 14:12:13,08/08/2019 14:13:32,737278.14:13:32.9355489
637008704172059457,08/08/2019 14:13:37,08/08/2019 14:13:39,00:00:01.9120234
637008704274446234,08/08/2019 14:13:47,08/08/2019 14:13:49,00:00:01.7895269
637008704724150119,08/08/2019 14:14:32,08/08/2019 14:14:51,00:00:19.0508178
637008705516056083,08/08/2019 14:15:51,08/08/2019 14:16:03,00:00:12.0010218
637008705669130402,08/08/2019 14:16:06,08/08/2019 14:16:23,737278.14:16:23.3165749
637008705862324672,08/08/2019 14:16:26,08/08/2019 14:17:17,00:00:51.0405371
637008709957108234,08/08/2019 14:23:15,08/08/2019 14:23:26,00:00:11.1687777
637008710099646000,08/08/2019 14:23:29,08/08/2019 14:23:41,00:00:11.7516595
637009535203793665,09/08/2019 13:18:40,09/08/2019 13:18:44,00:00:03.7902337
637009536561601872,09/08/2019 13:20:56,09/08/2019 13:21:08,00:00:11.9254374
637012057333605461,12/08/2019 11:22:13,12/08/2019 11:22:21,00:00:08.4739868
637012076380626817,12/08/2019 11:53:58,12/08/2019 11:54:00,00:00:02.7499652
637012076467552319,12/08/2019 11:54:06,12/08/2019 11:54:10,00:00:04.1397384
637015493997422720,16/08/2019 10:49:59,16/08/2019 10:50:34,00:00:34.6622010
637015499281136558,16/08/2019 10:58:48,16/08/2019 10:58:52,00:00:04.7114646
637015500331229315,16/08/2019 11:00:33,16/08/2019 11:00:44,00:00:11.8309058
637015664967144442,16/08/2019 15:34:56,16/08/2019 15:36:01,00:01:05.2565665
637015667402282434,16/08/2019 15:39:00,16/08/2019 15:39:23,00:00:23.2886364
637015668663560800,16/08/2019 15:41:06637015672263196023,16/08/2019 15:47:06,16/08/2019 15:47:09,737286.15:47:09.1597133
,16/08/2019 15:47:09,00:00:02.8506675
637015672392802208,16/08/2019 15:47:19,16/08/2019 15:47:49,00:00:30.3811764
637015674724154607,16/08/2019 15:51:12,16/08/2019 15:51:14,00:00:02.3131837
637015674829666692,16/08/2019 15:51:22,16/08/2019 15:51:28,00:00:05.3395586
637015676272776275,16/08/2019 15:53:47,16/08/2019 15:53:52,00:00:04.7517988
